day,no,word,meaning
DAY10,143,look different,다르게 보이다
DAY10,144,tailor,"재단사, 맞춤 제작하다"
DAY10,145,wind a watch,시계 태엽을 감다
DAY10,146,collectable,모을 수 있는
DAY10,147,conversely,"거꾸로, 반대로"
DAY10,148,dilute,희석하다
DAY10,149,exposition,"박람회, 전시회"
DAY10,150,generic,"회사 이름이 붙지 않은, 일반적인"
DAY10,151,high-end,최고급의
DAY10,152,merchant,"상인, 상업(용)의, 무역의"
DAY10,153,observably,눈에 띄게
DAY10,154,predictably,예상대로
DAY10,155,secondhand,"중고의, 간접의"
DAY10,156,stylishly,"현대식으로, 유행에 따르게"
DAY10,157,at a substantial discount,엄청난 할인가에
DAY10,158,bargain over prices,가격을 흥정하다
DAY10,159,embellish,"장식하다, 꾸미다"
DAY10,160,embroider,수놓다
DAY10,161,equivalent,"~에 상당하는, 맞먹는"
DAY10,162,exhilarating,아주 신나는
DAY10,163,exorbitant price,터무니없이 비싼 가격
DAY10,164,exquisite,"정교한, 우아한"
DAY10,165,extravagance,"사치품, 낭비"
DAY10,166,lavish,사치스러운
DAY10,167,redeem,바꾸다
DAY10,168,undercharge,너무 낮은 가격에 팔다
DAY11,1,research,"연구, 조사"
DAY11,2,devise,"고안하다, 발명하다"
DAY11,3,revolutionary,혁명적인
DAY11,4,innovative,혁신적인
DAY11,5,feature,"특징, 특색, 특징으로 삼다, 특별히 포함하다"
DAY11,6,inspiration,영감
DAY11,7,sufficiently,충분히
DAY11,8,patent,"특허, 특허권, 특허품"
DAY11,9,envision,"(장래의 일 등을) 계획하다, 상상하다"
DAY11,10,extend,"연장하다, (기간을)늘리다,
(감사의 뜻을)말하다, 베풀다"
DAY11,11,following,"~후에, 다음의, 다음에 오는"
DAY11,12,intend,"~할 작정이다, 의도하다"
DAY11,13,grant,"(인정하여 정식으로) 수여하다, 주다,
(연구비·장학금 등의) 보조금"
DAY11,14,allow,"~하게하다, ~을 허락하다"
DAY11,15,inspect,"~을 검사하다, 조사하다"
DAY11,16,improve,"향상시키다, 개선하다"
DAY11,17,increasingly,"점점, 더욱더"
DAY11,18,invest,"투자하다, 운용하다"
DAY11,19,various,"여러 가지의, 가지각색의"
DAY11,20,upgrade,"업그레이드,개량형,업그레이드하다,개선하다"
DAY11,21,manual,"설명서, 안내서"
DAY11,22,explore,"조사하다, 탐구하다"
DAY11,23,response,"응답, 대답"
DAY11,24,appearance,"외관, 외모"
DAY11,25,successful,"성공적인, 성공한"
DAY11,26,hold,"~을 수용하다, ~을 담다,
(회의 등을)개최하다, 열다"
DAY11,27,advance,"진보, 전진"
DAY11,28,reliable,"믿을 만한, 신뢰할 수 있는"
DAY11,29,quality,"품질, 질"
DAY11,30,domestic,"국내의, 국산의"
DAY11,31,development,"개발, 발전"
DAY11,32,availability,"(입수)가능성, 유효성, 유용성"
DAY11,33,update,"갱신,개정,갱신하다, 최신의 것으로 하다"
DAY11,34,accurate,정확한
DAY11,35,complicated,복잡한
DAY11,36,accomplished,"숙련된, 노련한"
DAY11,37,inquiry,"문의, 질문"
DAY11,38,indication,"징후, 조짐"
DAY11,39,manufacturer,"제조 회사, 제조업자"
DAY11,40,compatible,"호환되는, 양립할 수 있는"
DAY11,41,superior,"우수한, 상급의"
DAY11,42,absolute,"완전한, 완전무결한"
DAY11,43,broaden,넓히다
DAY11,44,corrosion,부식
DAY11,45,remotely,"원격으로, 멀리서"
DAY11,46,brand new,최신의
DAY11,47,break down,고장 나다
DAY11,48,developer,개발자
DAY11,49,handmade,수공의
DAY11,50,in a row,"한 줄로, 연이어"
DAY11,51,late,"늦은, 늦게"
DAY11,52,lid,뚜껑
DAY11,53,shape,"형체, (어떤)모양으로 만들다"
DAY11,54,sketch,"스케치, 스케치하다"
DAY11,55,switch off,스위치를 끄다
DAY11,56,turn off(↔turn on),끄다
DAY11,57,be known for,~으로 알려져 있다
DAY11,58,be made of,~으로 만들어지다
DAY11,59,catalog,"목록, 카탈로그"
DAY11,60,chemist,화학자
DAY11,61,close down,"폐쇄하다, 폐업하다"
DAY11,62,control,"관리, 통제, 관리하다, 통제하다"
DAY11,63,design,"디자인, 설계하다"
DAY11,64,discovery,발견
DAY11,65,historic,역사적으로 중요한
DAY11,66,invention,"발명, 발명품"
DAY11,67,original,"원형, 최초의, 독창적인"
DAY11,68,pure,"순수한, 불순물이 없는"
DAY11,69,repeat,반복하다
DAY11,70,request form,요청 양식
DAY11,71,sensor,감지 장치
DAY11,72,technique,기술
DAY11,73,test,"검사, 시험하다"
DAY11,74,go straight to,~으로 직행하다
DAY11,75,laboratory,실험실
DAY11,76,latest work,최신 작품
DAY11,77,lightweight,"가벼운, 경량의"
DAY11,78,out-of-date,"시대에 뒤떨어진, 구식의"
DAY11,79,product designer,제품 설계자
DAY11,80,product display,제품 진열
DAY11,81,redesign,"재설계, 새 디자인"
DAY11,82,trial period,시범 사용 기간
DAY11,83,try out,시험해 보다
DAY11,84,unplug the equipment,장비의 플러그를 뽑다
DAY11,85,up-to-date,최신의
DAY11,86,user's guide,사용자 설명서
DAY11,87,waterproof,방수의
